PUNGGOL,7865,6250,4144,2358
SENGKANG,18342,7223,3748,403
CENTRAL AREA,5820,10646,3629,281
BUKIT TIMAH,2097,7744,3585,308
MARINE PARADE,6999,8018,3558,197
BISHAN,18224,9834,3547,427
BUKIT MERAH,27905,10217,3468,121
SEMBAWANG,9210,6148,3245,333
KALLANG/WHAMPOA,22160,10411,3175,167
QUEENSTOWN,24177,10583,3149,145
TOA PAYOH,26224,9573,3079,250
PASIR RIS,28160,5541,3041,754
SERANGOON,19750,7391,2969,286
CLEMENTI,24248,9771,2900,254
TAMPINES,68535,7150,2890,323
GEYLANG,24055,8250,2875,144
HOUGANG,42163,6217,2801,290
CHOA CHU KANG,30470,5780,2788,278
BUKIT PANJANG,21389,6462,2778,379
BEDOK,57597,8033,2762,231
ANG MO KIO,45164,8440,2749,181
WOODLANDS,53444,6000,2628,201
BUKIT BATOK,37874,7867,2625,254
JURONG WEST,55494,6218,2613,177
JURONG EAST,21295,6207,2601,155
YISHUN,58300,6034,2545,227
LIM CHU KANG,63,1880,942,343
